,utility,eiaid,name,label,enddate,demandrateunit,flatdemandunit,uri,sector,description,source,peakkwcapacitymax,peakkwcapacitymin,peakkwhuseagemax,peakkwhuseagemin,voltagecategory,phasewiring
8218,South Central Indiana REMC,12929,Residential & Farm Rate - RS - HP,55773e915457a3e9438ba379,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/55773e915457a3e9438ba379,Residential,Available as an optional rate to any residential or farm consumer of the Corporation for singlephase electric service at a single delivery point who has an air source heat pump with natural gasor LP gas backup.,http://www.sciremc.com/documents/RateScheduleRS-HP_2_.pdf,,,,,Secondary,Single Phase
8220,Corn Belt Energy Corporation,4362,RATE 1 Residential & Farm Service (Central Region),539fb8afec4f024bc1dc1a69,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fb8afec4f024bc1dc1a69,Residential,"Applicable to residential and farm consumers for all uses including lighting, heating and power, subject to the established rules and regulations of the cooperative. Service under this schedule is limited to installations requiring not more than a 400-amp service. Approval of the cooperative must be obtained prior to installation of any motor requiring starting current in excess of 260 amperes",http://www.cornbeltenergy.com/images/pdfs/700-01%20central%20rate%201%20effective%2004-07.pdf,,,,,,Single Phase
8222,Corn Belt Energy Corporation,4362,RATE 2 Residential & Farm Service - Three Phase (Central Region),539fb670ec4f024bc1dc0085,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fb670ec4f024bc1dc0085,Residential,"Applicable to residential and farm consumers for all uses including lighting, heating and power, subject to the established rules and regulations of the Cooperative. Approval of the Cooperative must be obtained prior to installation of any motor requiring starting current in excess of 260 amperes.",http://www.cornbeltenergy.com/images/pdfs/700-02%20central%20rate%202%20effective%2004-07.pdf,,,,,,Single and 3-Phase
8223,Corn Belt Energy Corporation,4362,RATE 2 Residential & Farm Service - Three-Phase (Northern Region),539fb6daec4f024bc1dc054f,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fb6daec4f024bc1dc054f,Residential,"For all uses including lighting, heating, and power.",http://www.cornbeltenergy.com/images/pdfs/701-02%20northern%20rate%202%20effective%2004-07.pdf,,,,,,3-Phase
8225,Corn Belt Energy Corporation,4362,RATE 12 Residential Electrically Heated Apartments (Central Region),539fc2b0ec4f024c27d8b43d,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fc2b0ec4f024c27d8b43d,Residential,"Applicable to all residential apartments for uses including lighting, power and whose entire space heating requirements are supplied by the cooperative; the major portion of which is permanently installed. For purpose of this rate electric space heating shall include only resistance heating devices and electrically operated heat pumps (except heat pumps which obtain heat from the use of another fuel) or a combination of such facilities and solar energy collectors providing space heating through heat exchangers.",http://www.cornbeltenergy.com/images/pdfs/700-12%20central%20rate%20effective%2004-07.pdf,,,,,,Single Phase
8230,Miami-Cass County Rural E M C,12406,RATE SCHEDULE DG-1 Member Generated less than/equal to 10 kW,557898585457a39d428ba378,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/557898585457a39d428ba378,Residential,,http://www.mcremc.coop/content/member-generated-less-thanequal-10-kw,10,,,,,
8232,Miami-Cass County Rural E M C,12406,RATE SCHEDULE DG-2 Member Generated Power  10kW,557898ed5457a30e1d8ba378,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/557898ed5457a30e1d8ba378,Residential,.,http://www.mcremc.coop/content/member-generated-power-10kw,,10,,,,
8235,Hawaii Electric Light Co Inc,8287,"SCHEDULE ""R"" Residential Service-Single Phase",5579a0775457a3512a8ba375,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/5579a0775457a3512a8ba375,Residential,"This schedule does not apply where a residence and business are combined.
*Minimum charge $20.50",http://www.mauielectric.com/vcmcontent/StaticFiles/FileScan/PDF/EnergyServices/Tarrifs/HECO/EFFRATESJUN2014.pdf,,,,,Secondary,Single Phase
8236,Hawaii Electric Light Co Inc,8287,"SCHEDULE ""R"" Residential Service-Three Phase",5579a0cc5457a3f0108ba375,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/5579a0cc5457a3f0108ba375,Residential,"This schedule does not apply where a residence and business are combined.
*Minimum Charge: $25.00",http://www.hawaiielectriclight.com/vcmcontent/StaticFiles/FileScan/PDF/EnergyServices/Tarrifs/HECO/06%20EFFRATESSUMJUNE2015.pdf,,,,,Secondary,3-Phase
8237,Hawaii Electric Light Co Inc,8287,SCHEDULE TOU-R RESIDENTIAL TIME-OF-USE SERVICE - Single Phase,5579acc35457a302378ba376,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/5579acc35457a302378ba376,Residential,Minimum Charge: $21.00/month,http://www.hawaiianelectric.com/vcmcontent/StaticFiles/FileScan/PDF/EnergyServices/Tarrifs/HELCO/HELCORatesSchTOU-R.pdf,,,,,Secondary,Single Phase
8238,Hawaii Electric Light Co Inc,8287,SCHEDULE TOU-R RESIDENTIAL TIME-OF-USE SERVICE - Three Phase,5579ad6c5457a34f2a8ba376,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/5579ad6c5457a34f2a8ba376,Residential,Minimum Charge: $25.50/month,http://www.hawaiianelectric.com/vcmcontent/StaticFiles/FileScan/PDF/EnergyServices/Tarrifs/HELCO/HELCORatesSchTOU-R.pdf,,,,,Secondary,3-Phase
8286,The Potomac Edison Co (Maryland),15263,Schedule R Residential Service,557b35a25457a3b2028ba377,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/557b35a25457a3b2028ba377,Residential,"* Available for single phase residential service through  one meter.  All applicable surcharges, credits and taxes shall apply.

* Adjustments $/kWh = Co-generation Purpa Surcharge + Rate Transition Surcharge + Environmental Surcharge + EMPOWER MD Surcharge + Demand Resource Surcharge + Energy Cost Adjustment + Administrative Credit",https://www.firstenergycorp.com/content/dam/customer/Customer%20Choice/Files/maryland/tariffs/PotomacEdisonRetailTariff.pdf,,,,,,Single Phase
8324,Piedmont Electric Member Corp,15023,RESIDENTIAL SERVICE Three-Phase(RS-3),558429525457a3fd146c88a2,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/558429525457a3fd146c88a2,Residential,Monthly charge includes Renewable Energy Portfolio Standard (REPS),http://piedmontemc.wpengine.com/wp-content/uploads/2013/09/Piedmont_Rates_06-01-2015_Final_with_Links.pdf,,,,,,3-Phase
8325,Piedmont Electric Member Corp,15023,RESIDENTIAL SERVICE - ENERGY EFFICIENT SINGLE PHASE(EE-1),558429d95457a38e336c88a2,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/558429d95457a38e336c88a2,Residential,"Monthly charge includes Renewable Energy Portfolio Standard (REPS)
This rate is subject to Wholesale Power Cost Adjustments as well as any applicable sales taxes imposed by any governmental authority.",http://piedmontemc.wpengine.com/wp-content/uploads/2013/09/Piedmont_Rates_06-01-2015_Final_with_Links.pdf,,,,,,
8327,Piedmont Electric Member Corp,15023,RESIDENTIAL SERVICE - ENERGY EFFICIENT THREE PHASE(EE-3),55842b625457a3f1586c88a4,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/55842b625457a3f1586c88a4,Residential,"Monthly charge includes Renewable Energy Portfolio Standard (REPS)
This rate is subject to Wholesale Power Cost Adjustments as well as any applicable sales taxes imposed by any governmental authority.",http://piedmontemc.wpengine.com/wp-content/uploads/2013/09/Piedmont_Rates_06-01-2015_Final_with_Links.pdf,,,,,,3-Phase
8329,Piedmont Electric Member Corp,15023,Residential Service Single Phase,558420765457a3842d6c88aa,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/558420765457a3842d6c88aa,Residential,Renewable Energy Portfolio Standard (REPS) Adjustment is added to the monthly charge,http://piedmontemc.wpengine.com/wp-content/uploads/2013/09/Piedmont_Rates_06-01-2015_Final_with_Links.pdf,,,,,,
8331,Piedmont Electric Member Corp,15023,RESIDENTIAL SERVICE - ENERGY STAR All- Electric Single Phase(RS-ES),55842c995457a3b71c6c88a2,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/55842c995457a3b71c6c88a2,Residential,"Monthly charge includes Renewable Energy Portfolio Standard (REPS)
This rate is subject to Wholesale Power Cost Adjustments as well as any applicable sales taxes imposed by any governmental authority.",http://piedmontemc.wpengine.com/wp-content/uploads/2013/09/Piedmont_Rates_06-01-2015_Final_with_Links.pdf,,,,,,Single Phase
8333,Piedmont Electric Member Corp,15023,RESIDENTIAL SERVICE - ENERGY STAR All- Electric Three Phase (RS-ES),55842d365457a38e336c88a3,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/55842d365457a38e336c88a3,Residential,"Applicability:
Service under this Schedule is applicable to all residential consumers whose residence is in compliance with the Energy Star standards.

REPS CHARGE: Residential $ 0.35 INCLUDED IN FIXED MONTHLY CHARGE

This rate is also subject to Wholesale Power Cost Adjustments, the Energy Efficiency Rider, as well as any applicable sales taxes imposed by any governmental authority.",http://piedmontemc.wpengine.com/wp-content/uploads/2013/09/Piedmont_Rates_06-01-2015_Final_with_Links.pdf,,,,,,3-Phase
8335,Piedmont Electric Member Corp,15023,RESIDENTIAL SERVICE - ENERGY STAR Standard Single Phase,55842de75457a3b21c6c88a2,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/55842de75457a3b21c6c88a2,Residential,"Monthly charge includes Renewable Energy Portfolio Standard (REPS)
This rate is subject to Wholesale Power Cost Adjustments as well as any applicable sales taxes imposed by any governmental authority.",http://piedmontemc.wpengine.com/wp-content/uploads/2013/09/Piedmont_Rates_06-01-2015_Final_with_Links.pdf,,,,,,
8337,Piedmont Electric Member Corp,15023,RESIDENTIAL SERVICE - ENERGY STAR Standard Three Phase,55842e965457a3fd146c88a3,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/55842e965457a3fd146c88a3,Residential,"Monthly charge includes Renewable Energy Portfolio Standard (REPS)
This rate is subject to Wholesale Power Cost Adjustments as well as any applicable sales taxes imposed by any governmental authority.",http://piedmontemc.wpengine.com/wp-content/uploads/2013/09/Piedmont_Rates_06-01-2015_Final_with_Links.pdf,,,,,,
8338,Piedmont Electric Member Corp,15023,RESIDENTIAL TIME-OF-DAY - DEMAND/ENERGY Single-Phase(R/SGS-TOD-1),55843d325457a3b21c6c88a3,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/55843d325457a3b21c6c88a3,Residential,"Monthly charge includes Renewable Energy Portfolio Standard (REPS)
This rate is subject to Wholesale Power Cost Adjustments as well as any applicable sales taxes imposed by any governmental authority.",http://piedmontemc.wpengine.com/wp-content/uploads/2013/09/Piedmont_Rates_06-01-2015_Final_with_Links.pdf,,,,,,
8343,Piedmont Electric Member Corp,15023,RESIDENTIAL - TIME-OF-DAY - ENERGY ONLY Three Phase,558ab8d55457a3ff588b4568,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/558ab8d55457a3ff588b4568,Residential,"Monthly charge includes Renewable Energy Portfolio Standard (REPS)
This rate is subject to Wholesale Power Cost Adjustments as well as any applicable sales taxes imposed by any governmental authority.",http://piedmontemc.wpengine.com/wp-content/uploads/2013/09/Piedmont_Rates_06-01-2015_Final_with_Links.pdf,,,,,,3-Phase
8346,Southern Public Power District,17642,Rural Residential and Farm Service,558b008a5457a3f1738b4568,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/558b008a5457a3f1738b4568,Residential,"Available: At points on the District's existing distribution facilities located in rural areas.
Applicable: To single family private dwelling units, including adjacent farm buildings, and for other ordinary farm use where service is supplied through one meter. Not available for crop irrigation.",http://www.southernpd.com/rrandfarmrate.pdf,,,,,,Single and 3-Phase
8348,Southern Public Power District,17642,Village Residential Service,558b020e5457a3c9028b4569,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/558b020e5457a3c9028b4569,Residential,"Available: At points on the District's existing distribution facilities located in villages and to
residential customers residing in approved platted subdivisions.
Applicable: To single family private dwelling units supplied through one meter for domestic
purposes.
Character of Service: Alternating current, 60 cycles, single-phase, at nominal voltages of 120 or
120/240 volts.",http://www.southernpd.com/villageandresservice.pdf,,,,,,Single Phase
8356,"City of Owatonna, Minnesota (Utility Company)",14246,Residential Service Rate,558dc0ba5457a3d00b8b4567,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/558dc0ba5457a3d00b8b4567,Residential,"1.Load Management - 5% Credit on Commodity Charge & EAA applied year round   (beginning 2/1/2010, it will only be calculated on the Commodity Charge).
2.Electric Heat/Geothermal - 20% Credit on Commodity Charge & EAA applied year round (beginning 2/1/2010, it will only be calculated on the Commodity Charge).
3.Energy Conservation Investment (ECI) charge of 1.5% applied to total bill.

Note:  Residential Electric Heat and Geothermal not taxed November through April.",http://www.owatonnautilities.com/residential-customers/rates-fees/electric-rates,,,,,,
8362,Orange & Rockland Utils Inc,14154,SC1 Residential - Bundled Service,5592b9305457a3e648ce826c,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/5592b9305457a3e648ce826c,Residential,"Residential Customers:
Continuous, 60 cycles, A.C., from any one of the following systems as designated by the Company:
(a) Single phase at approximately 120, 120/208 or 120/240 Volts.
(b) Three phase four wire at approximately 120/208 Volts in limited areas.
Other Customers Eligible for Residential Service as Defined in General Information Section No. 8:
Continuous, 60 cycles, A.C., single or three phase secondary, or three phase primary as defined in General Information Section No. 4.",http://www.oru.com/documents/tariffsandregulatorydocuments/ny/electrictariff/electricSC01.pdf,,,,,,
8375,Orange & Rockland Utils Inc,14154,"SC19 Residental Time Of Use (multiple bills, full service)",5594102c5457a32d42ce826e,,kW,,http://en.openei.org/apps/USURDB/rate/view/5594102c5457a32d42ce826e,Residential,"Sales and delivery of electric power supply provided by the Company or delivery of electric power supply provided by an Energy Service Company under the Company's Retail Access Program for residential service at customer's option, and other customers eligible for residential service as defined in General Information Section No. 8. Residential service is also available under Service Classification No. 1 of this Rate Schedule.",http://www.oru.com/documents/tariffsandregulatorydocuments/ny/electrictariff/electricSC19.pdf,,,,,,
8377,Wagoner Public Works Authority,20163,Residential Service,559567685457a35a7fce826e,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/559567685457a35a7fce826e,Residential,"Rates subject to Power Cost Adjustment (PCA). GRDA has a PCA in effect that raises or lowers the wholesale energy cost above or below a base cost per killowatt-hour. This PCA is made effective for six-month periods beginning Jan. 1 and July 1. The amount of the adjustment is provided to the public works authority by GRDA.

If the PCA is positive, the PCA will be added to the customer bill. The PCA will be equal to 110% of of the GRDA PCA rate applied to each kilowatt-hour billed.

If the PCA is negative, it will be subtracted from the customer bills for each kWh used.",http://wagonerok.org/Utilities.html,,,,,,
8379,"City of Arcadia, Wisconsin (Utility Company)",765,Residential Service,559582dd5457a35a7fce826f,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/559582dd5457a35a7fce826f,Residential,"Power Cost Adjustment Clause (PCAC) - All meter rates shall be subject to a positive or negative power cost adjustment charge equivalent to the amount by which the current cost of power (per kWh of sales) is greater or lesser than the base cost of power purchased and produced.  The base cost until changed by order of the Public Service Commission of Wisconsin is $0.0507 per kWh.

Fixed Monthly Charge includes Public Benefit Charge= $1.33 per month",http://www.cityofarcadiawi.com/index.asp?Type=B_BASIC&SEC={105E77F0-F5BA-478A-A913-C05FB37E67AE},,,,,,Single Phase
8380,"City of Arcadia, Wisconsin (Utility Company)",765,Residential Service- Three Phase,559583405457a34034ce8271,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/559583405457a34034ce8271,Residential,"Power Cost Adjustment Clause (PCAC) - All meter rates shall be subject to a positive or negative power cost adjustment charge equivalent to the amount by which the current cost of power (per kWh of sales) is greater or lesser than the base cost of power purchased and produced.  The base cost until changed by order of the Public Service Commission of Wisconsin is $0.0507 per kWh.

Fixed Monthly Charge includes Public Benefit Charge= $1.33 per month",http://www.cityofarcadiawi.com/index.asp?Type=B_BASIC&SEC={105E77F0-F5BA-478A-A913-C05FB37E67AE},,,,,,3-Phase
8383,Edgecombe-Martin County E M C,5656,Residential Service,559c054e5457a3a663271884,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/559c054e5457a3a663271884,Residential,"Electric service is available under this Schedule for residential use and incidental farm and other use supplied through one meter to each resident, farm building, or apartment unit. Service under this Schedule is not available for commercial or other business establishments, institutions, and farm or residential uses with individual motors in excess of 10 horsepower.",http://ememc.com/wp-content/uploads/2014/12/EMCEMC_Rate_Schedules_Jul114.pdf,,,,,Secondary,Single and 3-Phase
8394,"Town of Middletown, Indiana (Utility Company)",12476,Residential Service,539f6fb9ec4f024411ecd15d,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6fb9ec4f024411ecd15d,Residential,"Available through one meter for residential service, including lighting, household appliances, refrigeration, cooking, water heating, space heating and small motors not exceeding three horsepower individual capacity.  Alternating current, 60 Hertz, single phase at a voltage of approximately 120 volts two-wire, or 120/240 volts three-wire",http://www.middletownin.com/ORD/title5.pdf,,,,,,Single Phase
8402,"Village of Cashton, Wisconsin (Utility Company)",3156,Rg-1 Residential Service Single Phase,539fb6ebec4f024bc1dc062d,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fb6ebec4f024bc1dc062d,Residential,"Application: This rate will be applied to residential single-phase and three-phase customers for ordinary household purposes. Single-phase motors may not exceed 5 horsepower individual-rated capacity without utility permission.
Fixed Monthly Charge includes Commitment to Community Rider: $1.33 per customer per month.
Power Cost Adjustment Clause: Charge per all kWh varies monthly.",http://psc.wi.gov/apps40/tariffs/viewfile.aspx?type=electric&id=970,,,,,,Single Phase
8403,"Village of Muscoda, Wisconsin (Utility Company)",13145,Residential Service  Optional Time-of-Day- Single,55b93e8e5457a3e449995e8f,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/55b93e8e5457a3e449995e8f,Residential,"This rate schedule is optional to all Rg-1, Residential Service customers",http://psc.wi.gov/apps40/tariffs/viewfile.aspx?type=electric&id=4000,,,,,Secondary,Single Phase
8404,"Village of Muscoda, Wisconsin (Utility Company)",13145,Residential Service  Optional Time-of-Day- Three,55b93f4d5457a31353995e8d,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/55b93f4d5457a31353995e8d,Residential,"This rate schedule is optional to all Rg-1, Residential Service customers",http://psc.wi.gov/apps40/tariffs/viewfile.aspx?type=electric&id=4000,,,,,Secondary,3-Phase
8409,"Village of Viola, Wisconsin (Utility Company)",19867,Rg-1 Residential Three Phase Service,539fb740ec4f024bc1dc0977,,kW,,http://en.openei.org/apps/USURDB/rate/view/539fb740ec4f024bc1dc0977,Residential,"This rate will be applied to residential single-phase customers for ordinary household purposes. Single-phase motors may not exceed 5 horsepower individual-rated capacity without utility permission.


The following Riders and Adjustments are applicable to this rate:
*Power Cost Adjustment Clause
*Commitment to Community Program Rider with a fee of $1.33 per month (included below in the Fixed Monthly Charge)",http://psc.wi.gov/apps40/tariffs/viewfile.aspx?type=electric&id=6130,,,,,,3-Phase
8410,"Village of Viola, Wisconsin (Utility Company)",19867,Rg-1 Residential Single Phase Service,539f7209ec4f024411ececad,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f7209ec4f024411ececad,Residential,"This rate will be applied to residential single-phase customers for ordinary household purposes. Single-phase motors may not exceed 5 horsepower individual-rated capacity without utility permission.


The following Riders and Adjustments are applicable to this rate:
*Power Cost Adjustment Clause
*Commitment to Community Program Rider with a fee of $1.33 per month (included below in the Fixed Monthly Charge)",http://psc.wi.gov/apps40/tariffs/viewfile.aspx?type=electric&id=6130,,,,,,Single Phase
8415,"City of Lewes, Delaware (Utility Company)",10935,Residential,539fb47aec4f024bc1dbe9dd,,kW,,http://en.openei.org/apps/USURDB/rate/view/539fb47aec4f024bc1dbe9dd,Residential,"Service is available under this Rate Schedule for single-family residential home and farm use only. Incidental use of the Residence for other purposes may be permitted, if approved by the Board of Public Works (BPW). However, Residences used principally for commercial purposes, such as rooming or boarding rental, may not be served under this Rate Schedule, unless the commercial use is metered and served separately under the appropriate Rate Schedule.

The purchased power cost adjustment (PPCA) to reconcile over or under collections of power supply costs will apply to all service supplied under this Rate Schedule.

The Minimum Bill for montly service shall be the Ready to Serve Charge. Properties unoccupied for periods of time will not be excluded, unless service is discontinued.

*The Ready to Service Change will be increased by $10.00 for three-phase service",http://www.ci.lewes.de.us/Residential-Electric-Rates/,,,,,,Single Phase
8416,"City of Garrett, Indiana (Utility Company)",6970,Residential Service,539fb62cec4f024bc1dbfd97,,kW,,http://en.openei.org/apps/USURDB/rate/view/539fb62cec4f024bc1dbfd97,Residential,"(A) Availability. The Electric Utility is available for residential service, except
such service as is precluded by any of the provisions of the Aspecial terms and
conditions@ set forth in this rate schedule. The customer must be located on the
utility's distribution lines.
(B) Character of service. The character of service to residential users under
this section shall be alternating current, 60 cycle, at a voltage of approximately
120 volts, two wire, 120/240 volts, three wire, where available.",http://www.garrettindiana.us/Codes/Title%20V/Chapter_53.pdf,,,,,,
8417,"City of Jackson, Georgia (Utility Company)",9573,RESIDENTIAL,539f761dec4f024411ed1beb,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f761dec4f024411ed1beb,Residential,,http://www.cityofjacksonga.com/Electric.aspx,,,,,,
8418,"Town of Knightstown, Indiana (Utility Company)",10407,RS Electric Residential Service,55ca45875457a3f60455f066,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/55ca45875457a3f60455f066,Residential,"Available for single phase residential service, including residential lighting, residential space heating, household appliance, refrigeration and cooking appliances, water heating, and small motors not exceeding 3 hp individual capacity.",http://www.in.gov/iurc/files/3221.pdf,,,,,,
8424,"Village of Morrisville, Vermont (Utility Company)",12989,Residential Demand Rate Schedule 11,55e476e55457a33c5f8e8007,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/55e476e55457a33c5f8e8007,Residential,"This rate is available for existing single-phase electric service at secondary voltage in single family dwellings and apartments and for agricultural production within the service territory of the Village of Morrisville Water and Light Department.  Measured loads above 2,500 kWh per month for two (2) consecutive months shall be served under this rate.",http://www.mwlvt.com/2010 Electric Rate Tariff.pdf,,,,,,
8433,"Northern Neck Elec Coop, Inc",13762,SCHEDULE R-3-U RESIDENTIAL SERVICE,539fc24cec4f024c27d8b04f,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fc24cec4f024c27d8b04f,Residential,"Available to customers of the cooperative for a single family residence or a combination of farm and one single family residence served by a single meter, subject to the established rules and regulations. Service under this schedule is limited to single family occupancy. The capacity of individual single-phase motors shall not exceed ten(10) horsepower without the consent of the cooperative.

Prices are subject to the Wholesale Power Cost Adjustment Charge.",http://nnec.coopwebbuilder2.com/sites/nnecnnec/files/images/PDF/nnec-residential-schedule.pdf,,,,,Secondary,Single and 3-Phase
8435,Wyrulec Company,21079,"General Service (Optional, Single-Phase) Residential GS-2",539fc37cec4f024c27d8bc99,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fc37cec4f024c27d8bc99,Residential,"Applicable to all accounts served single-phase choosing this optional rate for all uses except irrigation. To be eligible for this rate, the consumer must make a written request to be placed on this rate, and once receiving the rate must remain on the rate for a period of at least one year from the date the change is made.",http://wyrulec.coopwebbuilder2.com/sites/wyrulecwyrulec/files/PDF/Rate%20Sheets/GS-2.pdf,50,0,,,Secondary,Single Phase
8436,Marshall County Rural E M C,11767,RESIDENTIAL AND FARM SERVICE(SCHEDULE A-8),539fc9c3ec4f024d2f53f4c8,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539fc9c3ec4f024d2f53f4c8,Residential,Available to any member of the REMC located on its lines for general residential and farm use for a single-phase service with fifty (50) kW or less metered demand.,http://marshallremc.coopwebbuilder.com/sites/marshallremc.coopwebbuilder.com/files/a-8_res-farm_service.pdf,50,0,,,Secondary,Single Phase
8440,"City of Laurel, Nebraska (Utility Company)",10760,Residential Service All Ellectric,539fcb5bec4f024d2f540534,,kW,,http://en.openei.org/apps/USURDB/rate/view/539fcb5bec4f024d2f540534,Residential,"*To single family residences and individually metered apartments for all domestic purposes when all service is supplied through a single meter when the primary source of energy for space heating is electrical energy.
*Subject to production cost adjustment.",http://www.laurelne.com/Permits/ordinance_517.pdf,,,,,,
8447,"City of Lebanon, Missouri (Utility Company)",10832,RESIDENTIAL,539f6e0bec4f024411ecbda5,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f6e0bec4f024411ecbda5,Residential,,http://www.lebanonmissouri.org/DocumentView.aspx?DID=1083,,,,,,
8450,"Grand Valley Rrl Pwr Line, Inc",7563,"Farm and Home (Residential Home) Service, Schedule (10)-FH-1",56210f155457a32215a988fe,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/56210f155457a32215a988fe,Residential,"* Assume Net Metering due to Photovoltaic Interconnection Service Schedule PV-I 

* The Power Cost Adjustment(PCA) shall be applied to customers in all rate schedules and classes.The PCA shall be adjusted to the most current billing period, as information is available from the Utilities wholesale provider(s).  The PCA adjustment shall appear on the consumers billing statement following the billing period of the Fuel Cost Factor (FCA) adjustment for wholesale power cost by the wholesale provider(s). 
* The Power Cost Adjustment per customer shall be calculated each billing period based on wholesale power bills as follows: PCA = (FCA/total system kilowatt-hours sold) x total number of individual customer's kilowatt-hours billed.",http://www.gvp.org/sites/gvp/files/Tariffs/2015/FH-1.pdf,,,,,Secondary,Single Phase
8451,"Grand Valley Rrl Pwr Line, Inc",7563,Time of Use - Farm and Home: Schedule TOU-1,562113c05457a31619a988fe,,kW,,http://en.openei.org/apps/USURDB/rate/view/562113c05457a31619a988fe,Residential,"Time of Use - Farm and Home
Schedule -TOU-1

* Available to customers qualifying for service under Farm and Home Service, Schedule FH-1, and Irrigation Service, Schedule I-1. Subject to the established rules and regulations of the Seller.
Note: See reference website for additional Time of Use Rate details.

* Assume Net Metering= due to Photovoltaic Interconnection Service (Schedule PV-I).

* The Power Cost Adjustment (PCA) shall be applied to customers in all rate schedules and classes.  The PCA shall be adjusted to the most current billing period, as information is available from the Utilities wholesale provider(s).  The PCA adjustment shall appear on the consumers billing statement following the billing period of the Fuel Cost Factor (FCA) adjustment for wholesale power cost by the wholesale provider(s). 

* The Power Cost Adjustment per customer shall be calculated each billing period based on wholesale power bills as follows: PCA = (FCA/total system kilowatt-hours sold) x total number of individual customer's kilowatt-hours billed.",http://www.gvp.org/sites/gvp/files/Tariffs/2015/TOU-1.pdf,,,,,,
8453,Stillwater Utilities Authority,18125,Block Billing Service (BB),562120b55457a35e5aa98900,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/562120b55457a35e5aa98900,Residential,"AVAILABILITY: Alternating current service for domestic use in an apartment dwelling complex metered by a single meter for all units. Rooming houses in which more than 50% of the rooms are held for rent shall not be served under this schedule but under the General Service Rate or Residential Rate. Service will be supplied at one location for the entire electrical requirements of the customer and shall be at nominal secondary voltage of 120/240 volts single phase unless specifically agreed to by SEU. 

Production Cost Adjustment (PCA): A factor determined by SEU and applied to the cost of energy used by the consumer to account for variations in the cost of generating or purchasing power shall apply.",http://stillwater.org/document_center/SUA_Electric_Rates/BB_R14_1_1_15.pdf,,,,,Secondary,Single Phase
8455,Stillwater Utilities Authority,18125,Low Usage Resdiential Service (LURS),5621229b5457a3bb24a988ff,,kW,,http://en.openei.org/apps/USURDB/rate/view/5621229b5457a3bb24a988ff,Residential,"Special Conditions of Service:
*Electric service will be provided to each customer whose monthly kWh consumption at the present City address during the 12 month period ending with the current month does not exceed 400 kWh per month, subject to the provisions stated below.
*Customer's monthly consumption may exceed 400 kWh per month not more than 2 times during the 12 month period ending with the current month as long as the usage does not exceed 500 kWh in any month.
*The customer is disqualified from being served under this rate schedule when either: a)the consumption in any month exceeds 500 kWh; or b) the monthly consumption exceeds 400 kWh a third time during the 12 month period ending with the current month. Upon being disqualified, the customer shall be automatically transferred to the Residential Service Rate Schedule effective with the current month until such time as the customer is able to re-qualify for this rate schedule. 

Production Cost Adjustment(PCA): As calculated for each billing month and applied to increase or decrease each kWh consumed by customer.",stillwater.org/document_center/SUA_Electric_Rates/LURS_R17_1_1_15.pdf,,,,,,Single Phase
